bowler,player_dismissed
S Vidyut,1
Swapnil Singh,1
T Henderson,1
AC Voges,1
AC Gilchrist,1
AA Kazi,1
AA Noffke,1
AA Jhunjhunwala,1
AJ Finch,1
TP Sudhindra,1
V Chakravarthy,1
